"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Aug 22 12:22:35 GMT 2024","Thu Aug 22 12:22:35 GMT 2024","0","","test_CRUDUserPetStore","","","","test_2",""
"passed","Thu Aug 22 12:22:35 GMT 2024","Thu Aug 22 12:22:35 GMT 2024","0","","test_CRUDUserPetStore","","","","test_a3[234]",""
"skipped","Thu Aug 22 12:22:35 GMT 2024","Thu Aug 22 12:22:35 GMT 2024","0","","test_CRUDUserPetStore","","","","test_a2",""
"passed","Thu Aug 22 12:22:34 GMT 2024","Thu Aug 22 12:22:35 GMT 2024","226","","test_CRUDUserPetStore","","","","test_user_operations",""
"failed","Thu Aug 22 12:22:35 GMT 2024","Thu Aug 22 12:22:35 GMT 2024","0","","test_CRUDUserPetStore","","","","test_a3[345]",""
"skipped","Thu Aug 22 12:22:35 GMT 2024","Thu Aug 22 12:22:35 GMT 2024","0","","test_CRUDUserPetStore","","","","test_a",""
"failed","Thu Aug 22 12:22:35 GMT 2024","Thu Aug 22 12:22:35 GMT 2024","0","","test_CRUDUserPetStore","","","","test_a3[123]",""
